datatrans	rreq		rrep		codata		coack	no wormhole
16		2335		96		10		10	1					
17		2322		399		10		10						
18		2322		106		20		9						
27		2256		368		10		10						
22		2287		318		16		9						
23		2334		67		21		9						
24		2337		124		10		10						
26		2317		111		10		10						
15		2241		243		23		9						
26		2254		328		10		10	1					
36		2324		85		10		10						
28		2323		189		10		10						
21		2332		106		10		10						
32		2328		89		24		9						
23		2326		53		10		10						
16		2260		285		26		9						
22		2248		361		10		10						
16		2228		683		10		10						
22		2238		335		10		10						
26		2325		121		10		10	1					
23		2307		194		10		10						
23		2265		204		16		9						
21		2177		522		10		10						
21		2243		241		10		10						
35		2256		226		10		10						
27		2320		178		10		10						
17		2262		243		29		9						
21		2320		264		10		10						
30		2249		409		18		9						
16		2315		162		10		10	1					
44		3688		263		15		15	2					
35		3655		453		15		15						
32		3755		206		341		14						
31		3477		1168		300		14						
43		3653		364		15		15						
38		3655		320		94		13				1		
37		3705		216		24		13				1		
20		3263		991		16		15						
32		3579		719		15		15						
24		3582		1027		15		15	2					
31		3469		674		15		15						
37		3607		492		15		15						
36		3676		342		15		15						
27		3609		460		38		13						
42		3672		314		15		15						
34		3657		566		15		14						
24		3508		1086		23		14						
20		3629		616		38		13				1		
31		3652		612		31		14						
36		3570		1136		23		13	2			1		
32		3579		710		69		14						
31		3649		564		15		15						
31		3605		678		15		15						
35		3697		175		15		15								
38		3527		735		15		15						
32		3658		261		19		14						
39		3761		165		21		13						
31		3582		755		15		15						
39		3628		406		15		14						
28		3489		1114		22		14	2											
32		3952		667		110		14	3					
17		3588		1431		30		10				3		
30		4001		258		26		14						
38		3882		737		26		15						
43		3986		401		15		14						
24		3916		764		35		14						
33		3760		669		42		13				1		
31		4011		472		28		14						
38		3984		450		27		14						
36		3990		335		32		12	3			1		
42		4012		333		15		15						
36		3936		709		30		14						
34		4006		122		33		13				1		
33		3827		801		26		14						
36		3917		326		37		12				1		
32		4086		208		27		14						
28		3995		533		54		13						
28		3995		533		54		13						
22		3936		459		15		15						
37		4090		207		22		14	3					
26		3818		736		28		13				1		
30		3988		497		15		15						
30		3899		773		28		13						
32		3765		890		15		15						
28		3818		855		20		13				1		
35		4063		334		15		14						
36		3977		382		37		13						
31		3939		1342		15		15						
40		4081		203		25		14						
36		3895		585		32		13	3					
38		4263		526		203		13	4					
39		4270		283		30		14						
31		4075		920		18		13				1		
27		3906		1019		132		13				1		
25		4370		280		23		14						
25		4174		443		15		15						
28		4052		631		27		13				1		
38		4277		401		15		14						
25		4119		627		33		12				1		
29		4156		730		29		13	4					
30		3749		1140		21		12				2		
27		4289		423		21		13						
27		4167		1030		88		9						
36		4288		1020		21		14						
23		4189		508		60		11				1		
15		4036		1072		33		12						
36		4382		305		44		13						
28		4129		667		21		14						
25		4376		257		22		14						
33		4368		218		15		15	4					
32		4166		503		257		11				1		
34		4191		677		109		13						
29		4383		454		77		14						
22		4011		850		29		13				1		
44		4242		196		31		13						
30		4280		525		44		14						
39		4282		472		62		11				1		
39		4282		472		62		11				1		
38		4072		708		27		10				2		
24		4227		516		102		12	4					
22		4519		500		367		12	5					
27		4408		512		28		13						
22		4318		438		19		13				1		
25		4404		749		33		10				1		
16		4334		487		26		10				2		
31		4480		408		56		10				1		
30		4415		853		32		11				1		
28		4330		1803		22		14						
35		4517		662		29		13						
23		4475		410		74		11	5			1		
33		4463		673		296		13						
27		4538		441		509		11				1		
41		4537		416		96		12						
39		4615		319		107		14						
28		4236		1287		34		12				2		
23		4297		869		118		13				1		
24		4509		852		81		13						
27		4544		171		202		11						
26		4512		427		55		12						
29		4501		477		52		13	5					
33		4552		358		15		15						
24		4584		243		48		13						
30		4461		616		415		11						
23		4331		1313		25		13						
33		4505		341		60		10						
34		4520		464		24		13						
28		4415		772		269		13						
23		4530		444		73		10						
22		4384		943		73		11						
28		4282		821		47		12	5					
31		4528		673		208		9				1		
20		1762		10774		5		8		6		1		
